penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.2,DHL,"Deutsche Post, Garbsen",4,11.0,11.0
0.0,0.2,DHL,"Deutsche Post, Garbsen",5,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Lehrte",0,12.0,12.0
0.0,0.2,DHL,"Deutsche Post, Lehrte",1,16.0,16.0
0.0,0.2,DHL,"Deutsche Post, Lehrte",2,17.0,17.0
0.0,0.2,DHL,"Deutsche Post, Lehrte",3,15.0,15.0
0.0,0.2,DHL,"Deutsche Post, Lehrte",4,13.0,13.0
0.0,0.2,DHL,"Deutsche Post, Lehrte",5,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Neustadt",0,13.0,13.0
0.0,0.2,DHL,"Deutsche Post, Neustadt",1,15.0,15.0
0.0,0.2,DHL,"Deutsche Post, Neustadt",2,16.0,16.0
0.0,0.2,DHL,"Deutsche Post, Neustadt",3,15.0,15.0
0.0,0.2,DHL,"Deutsche Post, Neustadt",4,13.0,13.0
0.0,0.2,DHL,"Deutsche Post, Neustadt",5,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Springe",0,9.0,9.0
0.0,0.2,DHL,"Deutsche Post, Springe",1,9.0,9.0
0.0,0.2,DHL,"Deutsche Post, Springe",2,11.0,11.0
0.0,0.2,DHL,"Deutsche Post, Springe",3,10.0,10.0
0.0,0.2,DHL,"Deutsche Post, Springe",4,9.0,9.0
0.0,0.2,DHL,"Deutsche Post, Springe",5,7.0,7.0
0.0,0.2,DHL,"Deutsche Post, Wunstorf",0,15.0,15.0
0.0,0.2,DHL,"Deutsche Post, Wunstorf",1,15.0,15.0
0.0,0.2,DHL,"Deutsche Post, Wunstorf",2,16.0,16.0
0.0,0.2,DHL,"Deutsche Post, Wunstorf",3,16.0,16.0
0.0,0.2,DHL,"Deutsche Post, Wunstorf",4,14.0,14.0
0.0,0.2,DHL,"Deutsche Post, Wunstorf",5,11.0,11.0
0.0,0.2,DHL,Dummy Seelze,0,17.0,17.0
0.0,0.2,DHL,Dummy Seelze,1,19.0,19.0
0.0,0.2,DHL,Dummy Seelze,2,17.0,17.0
0.0,0.2,DHL,Dummy Seelze,3,17.0,17.0
0.0,0.2,DHL,Dummy Seelze,4,21.0,21.0
0.0,0.2,DHL,Dummy Seelze,5,13.0,13.0
0.0,0.2,DHL,Dummy Sehnde,0,9.0,9.0
0.0,0.2,DHL,Dummy Sehnde,1,9.0,9.0
0.0,0.2,DHL,Dummy Sehnde,2,10.0,10.0
0.0,0.2,DHL,Dummy Sehnde,3,9.0,9.0
0.0,0.2,DHL,Dummy Sehnde,4,8.0,8.0
0.0,0.2,DHL,Dummy Sehnde,5,6.0,6.0
0.0,0.2,DHL,Dummy Uetze,0,7.0,7.0
0.0,0.2,DHL,Dummy Uetze,1,7.0,7.0
0.0,0.2,DHL,Dummy Uetze,2,7.0,7.0
0.0,0.2,DHL,Dummy Uetze,3,8.0,8.0
0.0,0.2,DHL,Dummy Uetze,4,6.0,6.0
0.0,0.2,DHL,Dummy Uetze,5,4.0,4.0
0.0,0.2,DHL,Dummy Wennigsen,0,10.0,10.0
0.0,0.2,DHL,Dummy Wennigsen,1,12.0,12.0
0.0,0.2,DHL,Dummy Wennigsen,2,12.0,12.0
0.0,0.2,DHL,Dummy Wennigsen,3,10.0,10.0
0.0,0.2,DHL,Dummy Wennigsen,4,9.0,9.0
0.0,0.2,DHL,Dummy Wennigsen,5,10.0,10.0
0.0,0.2,DHL,Paketzentrum / Zustellbasis Anderten,0,38.0,38.0
0.0,0.2,DHL,Paketzentrum / Zustellbasis Anderten,1,48.0,48.0
0.0,0.2,DHL,Paketzentrum / Zustellbasis Anderten,2,42.0,42.0
0.0,0.2,DHL,Paketzentrum / Zustellbasis Anderten,3,42.0,42.0
0.0,0.2,DHL,Paketzentrum / Zustellbasis Anderten,4,45.0,45.0
0.0,0.2,DHL,Paketzentrum / Zustellbasis Anderten,5,27.0,27.0
0.0,0.2,DHL,Zustellbasis Hannover am Güterbahnhof,0,97.0,95.0
0.0,0.2,DHL,Zustellbasis Hannover am Güterbahnhof,1,110.0,110.0
0.0,0.2,DHL,Zustellbasis Hannover am Güterbahnhof,2,116.0,114.0
0.0,0.2,DHL,Zustellbasis Hannover am Güterbahnhof,3,116.0,112.0
0.0,0.2,DHL,Zustellbasis Hannover am Güterbahnhof,4,94.0,90.0
0.0,0.2,DHL,Zustellbasis Hannover am Güterbahnhof,5,72.0,90.0
0.0,0.2,DHL,Zustellbasis Hannover-Süd,0,56.0,57.0
0.0,0.2,DHL,Zustellbasis Hannover-Süd,1,58.0,57.0
0.0,0.2,DHL,Zustellbasis Hannover-Süd,2,67.0,65.0
0.0,0.2,DHL,Zustellbasis Hannover-Süd,3,61.0,64.0
0.0,0.2,DHL,Zustellbasis Hannover-Süd,4,49.0,48.0
0.0,0.2,DHL,Zustellbasis Hannover-Süd,5,40.0,41.0
0.0,0.2,Amazon,Amazon Logistics HAJ8 in Garbsen,0,185.0,187.0
0.0,0.2,Amazon,Amazon Logistics HAJ8 in Garbsen,1,197.0,198.0
0.0,0.2,Amazon,Amazon Logistics HAJ8 in Garbsen,2,213.0,211.0
0.0,0.2,Amazon,Amazon Logistics HAJ8 in Garbsen,3,207.0,210.0
