penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.75,0.9,UPS,0,173290.0911564309,173290.0911564309,13.0,13.0
0.75,1.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.75,1.0,Amazon,0,337470.5458979166,337470.5458979166,44.0,44.0
0.75,1.0,DPD,0,166364.4170091741,166364.4170091741,3.0,3.0
0.75,1.0,FedEx,0,139512.55237107942,139512.55237107942,7.0,7.0
0.75,1.0,GLS,0,145121.5759768396,145121.5759768396,2.0,2.0
0.75,1.0,Hermes,0,190690.12898190285,190690.12898190285,3.0,3.0
0.75,1.0,UPS,0,171532.83921466384,171532.83921466384,16.0,16.0
1.0,0.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
1.0,0.0,Amazon,0,350810.6383067652,350810.6383067652,79.0,79.0
1.0,0.0,DPD,0,210178.8252010488,210178.8252010488,46.0,46.0
1.0,0.0,FedEx,0,167748.72604045804,167748.72604045804,31.0,31.0
1.0,0.0,GLS,0,186914.04044994732,186914.04044994732,30.0,30.0
1.0,0.0,Hermes,0,232267.79568581068,232267.79568581068,44.0,44.0
1.0,0.0,UPS,0,198052.502895174,198052.502895174,40.0,40.0
1.0,0.1,DHL,6,560791.3267386539,557305.0928668058,164.0,158.0
1.0,0.1,Amazon,0,331955.2729200828,331955.2729200828,76.0,76.0
1.0,0.1,DPD,0,184359.4043210109,184359.4043210109,24.0,24.0
1.0,0.1,FedEx,0,151072.87686065154,151072.87686065154,10.0,10.0
1.0,0.1,GLS,0,163193.26698453282,163193.26698453282,21.0,21.0
1.0,0.1,Hermes,0,208083.45031547884,208083.45031547884,41.0,41.0
1.0,0.1,UPS,0,177967.3410711788,177967.3410711788,15.0,15.0
1.0,0.2,DHL,3,562617.8948012681,561674.0532840091,165.0,162.0
1.0,0.2,Amazon,0,334663.737760606,334663.737760606,61.0,61.0
1.0,0.2,DPD,0,184542.2989970997,184542.2989970997,20.0,20.0
1.0,0.2,FedEx,0,151579.65786604036,151579.65786604036,15.0,15.0
1.0,0.2,GLS,0,164069.99256402726,164069.99256402726,14.0,14.0
1.0,0.2,Hermes,0,211275.38954967097,211275.38954967097,22.0,22.0
1.0,0.2,UPS,0,180191.08042243635,180191.08042243635,16.0,16.0
1.0,0.3,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
1.0,0.3,Amazon,0,340949.15392539656,340949.15392539656,42.0,42.0
1.0,0.3,DPD,0,183721.0756379699,183721.0756379699,14.0,14.0
1.0,0.3,FedEx,0,154010.04770860905,154010.04770860905,8.0,8.0
1.0,0.3,GLS,0,163354.30379637887,163354.30379637887,13.0,13.0
1.0,0.3,Hermes,0,209036.8080775312,209036.8080775312,20.0,20.0
1.0,0.3,UPS,0,179621.87907304175,179621.87907304175,15.0,15.0
1.0,0.4,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
1.0,0.4,Amazon,0,339119.4103191851,339119.4103191851,40.0,40.0
1.0,0.4,DPD,0,182351.27143306925,182351.27143306925,9.0,9.0
